iter	RMSE
0	9919.940218
1	9847.833289
2	9780.343687
3	9711.080892
4	9649.284276
5	9587.280938
6	9524.345717
7	9461.817494
8	9408.185562
9	9346.083318
10	9286.696975
11	9229.696173
12	9167.752948
13	9105.412117
14	9044.41902
15	8986.625669
16	8929.982846
17	8872.941349
18	8820.21097
19	8766.097772
20	8712.894829
21	8659.548224
22	8606.876331
23	8561.57695
24	8509.548632
25	8454.584098
26	8401.73275
27	8349.049365
28	8297.671386
29	8243.863609
30	8191.764036
31	8145.15361
32	8099.421197
33	8050.534674
34	8005.423794
35	7959.466474
36	7913.670627
37	7866.704249
38	7818.990394
39	7775.205695
40	7729.370013
41	7681.36023
42	7644.329216
43	7598.527163
44	7557.089728
45	7518.406851
46	7474.571991
47	7432.344298
48	7394.00291
49	7352.633366
50	7311.032054
51	7270.450576
52	7229.918846
53	7189.540295
54	7153.069342
55	7111.747392
56	7075.261642
57	7037.648051
58	7002.210213
59	6966.042337
60	6932.603891
61	6895.188836
62	6860.575765
63	6827.255837
64	6791.463592
65	6756.46507
66	6722.039622
67	6689.092894
68	6654.684768
69	6620.344072
70	6589.286176
71	6561.950446
72	6528.368942
73	6500.630374
74	6471.136085
75	6443.770912
76	6412.670715
77	6382.103806
78	6352.703105
79	6322.895542
80	6295.305988
81	6268.594693
82	6240.660507
83	6214.252074
84	6190.727173
85	6161.991295
86	6137.730827
87	6112.323616
88	6086.413624
89	6063.199005
90	6039.436846
91	6015.128492
92	5994.683821
93	5968.979649
94	5942.425174
95	5918.306437
96	5894.605744
97	5872.632841
98	5847.800687
99	5827.70977
100	5807.879177
101	5785.747415
102	5765.103084
103	5742.873211
104	5720.459708
105	5700.777664
106	5681.949231
107	5660.105528
108	5641.304473
109	5621.327154
110	5601.666256
111	5581.890686
112	5565.121168
113	5544.970001
114	5525.529259
115	5506.89674
116	5488.756233
117	5469.070529
118	5452.6058
119	5435.474771
120	5419.050983
121	5403.02015
122	5385.348569
123	5370.811217
124	5353.578266
125	5339.073693
126	5324.600401
127	5307.97897
128	5291.465574
129	5276.998173
130	5261.619912
131	5248.299317
132	5232.211103
133	5217.200347
134	5204.02978
135	5191.575866
136	5178.019031
137	5165.239627
138	5155.234655
139	5141.969134
140	5130.050703
141	5117.027077
142	5103.836812
143	5090.803341
144	5078.166979
145	5066.525102
146	5055.459188
147	5043.506875
148	5031.422265
149	5018.687719
150	5006.82972
151	4996.304677
152	4984.592244
153	4973.400801
154	4962.371335
155	4951.588041
156	4940.530537
157	4930.183769
158	4918.731512
159	4908.596763
160	4899.082954
161	4888.252879
162	4880.957855
163	4872.142966
164	4862.127325
165	4851.488943
166	4841.927137
167	4831.335432
168	4822.37432
169	4813.662952
170	4804.206343
171	4795.285037
172	4786.740742
173	4780.8909
174	4771.681001
175	4763.036923
176	4753.820803
177	4744.690666
178	4735.833599
179	4728.158614
180	4721.332604
181	4713.807855
182	4705.96735
183	4699.277397
184	4691.613351
185	4685.341058
186	4676.98242
187	4669.423149
188	4662.182156
189	4654.541998
190	4648.542126
191	4641.199575
192	4633.858469
193	4627.748591
194	4620.827281
195	4614.453341
196	4607.99732
197	4602.23384
198	4596.223677
199	4590.179108
200	4584.190605
201	4578.395143
202	4572.885842
203	4567.085611
204	4561.20358
205	4555.063238
206	4549.339924
207	4544.820182
208	4539.641101
209	4534.402329
210	4529.968452
211	4524.542156
212	4518.527161
213	4514.209866
214	4508.74172
215	4503.335508
216	4498.390045
217	4493.23679
218	4488.812012
219	4483.6899
220	4478.650453
221	4473.645218
222	4468.581792
223	4464.052433
224	4460.125338
225	4455.298911
226	4451.326276
227	4446.934187
228	4441.800082
229	4437.314415
230	4432.466147
231	4428.459833
232	4423.754419
233	4419.143354
234	4415.022426
235	4411.183905
236	4407.13355
237	4403.796329
238	4399.829093
239	4395.39357
240	4392.524423
241	4389.615146
242	4385.488121
243	4382.176926
244	4378.433138
245	4374.468673
246	4370.892471
247	4367.11662
248	4365.370057
249	4362.05478
250	4358.256346
251	4355.028647
252	4351.709866
253	4349.203834
254	4346.664199
255	4343.170859
256	4339.921827
257	4336.821917
258	4334.303535
259	4331.142858
260	4327.684269
261	4324.009626
262	4320.917707
263	4317.563362
264	4314.920247
265	4311.728888
266	4308.770244
267	4306.130519
268	4303.595508
269	4301.025901
270	4299.30881
271	4296.41794
272	4293.38208
273	4290.052437
274	4288.128597
275	4285.809015
276	4283.323694
277	4280.781914
278	4278.016998
279	4275.269233
280	4272.686032
281	4270.180443
282	4267.289232
283	4266.313922
284	4263.295186
285	4261.059852
286	4258.460316
287	4257.549707
288	4255.179959
289	4252.406695
290	4250.093281
291	4248.147316
292	4245.913522
293	4243.864978
294	4242.083631
295	4240.273814
296	4238.450461
297	4236.671854
298	4234.768977
299	4234.000305
300	4231.743393
301	4230.62252
302	4229.028032
303	4227.428482
304	4226.00239
305	4224.197024
306	4222.500161
307	4220.349815
308	4218.68261
309	4217.093615
310	4215.569496
311	4213.778833
312	4212.095155
313	4210.351049
314	4209.098076
315	4208.064528
316	4206.616427
317	4205.009719
318	4203.347278
319	4202.820905
320	4201.374736
321	4199.834315
322	4198.051267
323	4195.787204
324	4194.372851
325	4192.640992
326	4191.187888
327	4189.636209
328	4188.428604
329	4187.272604
330	4185.705285
331	4184.436021
332	4183.863517
333	4183.248901
334	4182.56559
335	4180.461409
336	4179.290822
337	4177.786894
338	4176.177403
339	4175.207787
340	4173.831648
341	4171.611664
342	4169.835883
343	4168.148538
344	4166.701755
345	4165.076614
346	4164.738187
347	4163.493899
348	4162.151783
349	4160.96862
350	4160.047699
351	4158.486582
352	4157.279837
353	4155.780675
354	4154.452281
355	4153.826866
356	4153.04184
357	4151.99605
358	4150.00473
359	4148.492047
360	4146.756789
361	4144.934136
362	4143.834047
363	4142.953513
364	4141.953142
365	4141.689053
366	4140.626649
367	4139.177454
368	4136.99852
369	4135.320494
370	4133.978947
371	4133.217166
372	4132.58109
373	4130.942002
374	4130.630088
375	4129.515806
376	4128.16292
377	4127.937972
378	4126.982604
379	4126.062858
380	4124.70465
381	4123.565856
382	4121.609792
383	4120.062223
384	4119.570995
