iter	Passed	Remaining
0	6	6441
1	9	4908
2	17	5977
3	24	6073
4	27	5426
5	32	5443
6	35	4997
7	37	4657
8	38	4224
9	44	4399
10	46	4224
11	49	4075
12	51	3938
13	54	3834
14	56	3740
15	60	3694
16	62	3605
17	64	3527
18	66	3454
19	69	3390
20	71	3339
21	72	3230
22	75	3227
23	76	3121
24	79	3085
25	81	3054
26	83	3021
27	86	2992
28	88	2970
29	91	2944
30	93	2919
31	95	2878
32	97	2855
33	99	2836
34	101	2798
35	103	2778
36	106	2766
37	108	2748
38	110	2714
39	112	2699
40	114	2684
41	117	2668
42	119	2655
43	121	2642
44	122	2601
45	124	2591
46	127	2578
47	128	2555
48	131	2543
49	133	2532
50	135	2524
51	137	2514
52	140	2505
53	142	2496
54	144	2487
55	146	2461
56	148	2454
57	150	2445
58	152	2428
59	154	2420
60	155	2398
61	158	2392
62	160	2384
63	162	2380
64	165	2373
65	167	2366
66	169	2361
67	171	2355
68	174	2350
69	176	2345
70	179	2344
71	181	2342
72	184	2340
73	186	2336
74	189	2333
75	190	2317
76	193	2315
77	194	2300
78	196	2296
79	199	2293
80	201	2290
81	204	2286
82	205	2273
83	208	2273
84	209	2256
85	212	2255
86	214	2253
87	217	2251
88	219	2248
89	221	2244
90	224	2243
91	227	2240
92	229	2238
93	231	2235
94	234	2233
95	236	2229
96	239	2229
97	241	2226
98	244	2224
99	246	2221
100	248	2212
101	251	2210
102	252	2198
103	254	2195
104	257	2193
105	259	2185
106	261	2181
107	263	2173
108	265	2171
109	267	2168
110	270	2166
111	272	2163
112	275	2161
113	277	2159
114	279	2150
115	281	2148
116	284	2145
117	286	2139
118	288	2137
119	291	2134
120	293	2132
121	295	2129
122	298	2128
123	300	2122
124	302	2119
125	305	2117
126	307	2115
127	309	2105
128	310	2096
129	312	2093
130	315	2092
131	317	2089
132	319	2080
133	320	2074
134	323	2071
135	325	2070
136	328	2072
137	331	2072
138	332	2060
139	335	2059
140	337	2056
141	339	2053
142	342	2052
143	345	2051
144	347	2049
145	348	2040
146	350	2032
147	352	2030
148	355	2028
149	357	2026
150	359	2023
151	362	2021
152	364	2019
153	367	2018
154	369	2016
155	372	2015
156	375	2014
157	377	2012
158	379	2009
159	382	2006
160	384	2004
161	387	2002
162	388	1997
163	391	1995
164	392	1987
165	394	1984
166	397	1981
167	399	1979
168	402	1977
169	404	1974
170	406	1968
171	408	1965
